code,name,category
SE.SEC.CMPT.LO.MA.ZS,"Lower secondary completion rate, male (% of relevant age group)",Education
SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",Education
SE.SEC.AGES,Lower secondary school starting age (years),Education
SE.PRM.NINT.ZS,Net intake rate in grade 1 (% of official school-age population),Education
SE.PRM.NINT.FE.ZS,"Net intake rate in grade 1, female (% of official school-age population)",Education
SE.PRM.NINT.MA.ZS,"Net intake rate in grade 1, male (% of official school-age population)",Education
SH.DTH.1014,Number of deaths ages 10-14 years,Education
SH.DTH.1519,Number of deaths ages 15-19 years,Education
SH.DTH.2024,Number of deaths ages 20-24 years,Education
SH.DTH.0509,Number of deaths ages 5-9 years,Education
SE.PRM.OENR.ZS,"Over-age students, primary (% of enrollment)",Education
SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",Education
SE.PRM.OENR.MA.ZS,"Over-age students, primary, male (% of male enrollment)",Education
SE.PRM.PRS5.FE.ZS,"Persistence to grade 5, female (% of cohort)",Education
SE.PRM.PRS5.MA.ZS,"Persistence to grade 5, male (% of cohort)",Education
SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",Education
SE.PRM.PRSL.FE.ZS,"Persistence to last grade of primary, female (% of cohort)",Education
SE.PRM.PRSL.MA.ZS,"Persistence to last grade of primary, male (% of cohort)",Education
SE.PRM.PRSL.ZS,"Persistence to last grade of primary, total (% of cohort)",Education
SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population),Education
SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),Education
SE.PRE.DURS,"Preprimary education, duration (years)",Education
SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",Education
SE.PRM.CMPT.MA.ZS,"Primary completion rate, male (% of relevant age group)",Education
SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",Education
SE.PRM.DURS,"Primary education, duration (years)",Education
SE.PRM.ENRL,"Primary education, pupils",Education
SE.PRM.ENRL.FE.ZS,"Primary education, pupils (% female)",Education
SE.PRM.TCHR,"Primary education, teachers",Education
SE.PRM.TCHR.FE.ZS,"Primary education, teachers (% female)",Education
SE.PRM.AGES,Primary school starting age (years),Education
SH.DYN.1014,"Probability of dying among adolescents ages 10-14 years (per 1,000)",Education
SH.DYN.1519,"Probability of dying among adolescents ages 15-19 years (per 1,000)",Education
SH.DYN.0509,"Probability of dying among children ages 5-9 years (per 1,000)",Education
SH.DYN.2024,"Probability of dying among youth ages 20-24 years (per 1,000)",Education
SE.SEC.PROG.ZS,Progression to secondary school (%),Education
SE.SEC.PROG.FE.ZS,"Progression to secondary school, female (%)",Education
SE.SEC.PROG.MA.ZS,"Progression to secondary school, male (%)",Education
SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",Education
SE.PRE.ENRL.TC.ZS,"Pupil-teacher ratio, preprimary",Education
SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",Education
SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary",Education
SE.TER.ENRL.TC.ZS,"Pupil-teacher ratio, tertiary",Education
SE.SEC.ENRL.UP.TC.ZS,"Pupil-teacher ratio, upper secondary",Education
SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",Education
SE.PRM.REPT.MA.ZS,"Repeaters, primary, male (% of male enrollment)",Education
SE.PRM.REPT.ZS,"Repeaters, primary, total (% of total enrollment)",Education
SE.PRE.ENRR,"School enrollment, preprimary (% gross)",Education
SE.PRE.ENRR.FE,"School enrollment, preprimary, female (% gross)",Education
SE.PRE.ENRR.MA,"School enrollment, preprimary, male (% gross)",Education
SE.PRM.ENRR,"School enrollment, primary (% gross)",Education
SE.PRM.NENR,"School enrollment, primary (% net)",Education
SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",Education
SE.ENR.PRSC.FM.ZS,"School enrollment, primary and secondary (gross), gender parity index (GPI)",Education
SE.PRM.ENRR.FE,"School enrollment, primary, female (% gross)",Education
SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",Education
SE.PRM.ENRR.MA,"School enrollment, primary, male (% gross)",Education
SE.PRM.NENR.MA,"School enrollment, primary, male (% net)",Education
SE.PRM.PRIV.ZS,"School enrollment, primary, private (% of total primary)",Education
SE.SEC.ENRR,"School enrollment, secondary (% gross)",Education
SE.SEC.NENR,"School enrollment, secondary (% net)",Education
SE.ENR.SECO.FM.ZS,"School enrollment, secondary (gross), gender parity index (GPI)",Education
SE.SEC.ENRR.FE,"School enrollment, secondary, female (% gross)",Education
SE.SEC.NENR.FE,"School enrollment, secondary, female (% net)",Education
SE.SEC.ENRR.MA,"School enrollment, secondary, male (% gross)",Education
SE.SEC.NENR.MA,"School enrollment, secondary, male (% net)",Education
SE.SEC.PRIV.ZS,"School enrollment, secondary, private (% of total secondary)",Education
SE.TER.ENRR,"School enrollment, tertiary (% gross)",Education
SE.ENR.TERT.FM.ZS,"School enrollment, tertiary (gross), gender parity index (GPI)",Education
SE.TER.ENRR.FE,"School enrollment, tertiary, female (% gross)",Education
SE.TER.ENRR.MA,"School enrollment, tertiary, male (% gross)",Education
SE.SEC.DURS,"Secondary education, duration (years)",Education
SE.SEC.ENRL.GC,"Secondary education, general pupils",Education
SE.SEC.ENRL.GC.FE.ZS,"Secondary education, general pupils (% female)",Education
SE.SEC.ENRL,"Secondary education, pupils",Education
SE.SEC.ENRL.FE.ZS,"Secondary education, pupils (% female)",Education
SE.SEC.TCHR,"Secondary education, teachers",Education
SE.SEC.TCHR.FE.ZS,"Secondary education, teachers (% female)",Education
SE.SEC.TCHR.FE,"Secondary education, teachers, female",Education
SE.SEC.ENRL.VO,"Secondary education, vocational pupils",Education
SE.SEC.ENRL.VO.FE.ZS,"Secondary education, vocational pupils (% female)",Education
SE.TER.TCHR.FE.ZS,"Tertiary education, academic staff (% female)",Education
SE.SEC.TCAQ.LO.ZS,Trained teachers in lower secondary education (% of total teachers),Education
SE.SEC.TCAQ.LO.FE.ZS,"Trained teachers in lower secondary education, female (% of female teachers)",Education
SE.SEC.TCAQ.LO.MA.ZS,"Trained teachers in lower secondary education, male (% of male teachers)",Education
SE.PRE.TCAQ.ZS,Trained teachers in preprimary education (% of total teachers),Education
SE.PRE.TCAQ.FE.ZS,"Trained teachers in preprimary education, female (% of female teachers)",Education
SE.PRE.TCAQ.MA.ZS,"Trained teachers in preprimary education, male (% of male teachers)",Education
SE.PRM.TCAQ.ZS,Trained teachers in primary education (% of total teachers),Education
SE.PRM.TCAQ.FE.ZS,"Trained teachers in primary education, female (% of female teachers)",Education
SE.PRM.TCAQ.MA.ZS,"Trained teachers in primary education, male (% of male teachers)",Education
SE.SEC.TCAQ.ZS,Trained teachers in secondary education (% of total teachers),Education
SE.SEC.TCAQ.FE.ZS,"Trained teachers in secondary education, female (% of female teachers)",Education
SE.SEC.TCAQ.MA.ZS,"Trained teachers in secondary education, male (% of male teachers)",Education
SE.SEC.TCAQ.UP.ZS,Trained teachers in upper secondary education (% of total teachers),Education
SE.SEC.TCAQ.UP.FE.ZS,"Trained teachers in upper secondary education, female (% of female teachers)",Education
SE.SEC.TCAQ.UP.MA.ZS,"Trained teachers in upper secondary education, male (% of male teachers)",Education
SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Education
SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Education
SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Education
EG.ELC.ACCS.ZS,Access to electricity (% of population),Energy & Mining
EG.ELC.ACCS.RU.ZS,"Access to electricity, rural (% of rural population)",Energy & Mining
EG.ELC.ACCS.UR.ZS,"Access to electricity, urban (% of urban population)",Energy & Mining
NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI),Energy & Mining
NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$),Energy & Mining
NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI),Energy & Mining
NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$),Energy & Mining
NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI),Energy & Mining
EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),Energy & Mining
EN.ATM.CO2E.GF.ZS,CO2 emissions from gaseous fuel consumption (% of total),Energy & Mining
EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),Energy & Mining
EG.USE.CRNW.ZS,Combustible renewables and waste (% of total energy),Energy & Mining
EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),Energy & Mining
EG.ELC.LOSS.ZS,Electric power transmission and distribution losses (% of output),Energy & Mining
EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),Energy & Mining
EG.ELC.HYRO.ZS,Electricity production from hydroelectric sources (% of total),Energy & Mining
EG.ELC.NGAS.ZS,Electricity production from natural gas sources (% of total),Energy & Mining
EG.ELC.NUCL.ZS,Electricity production from nuclear sources (% of total),Energy & Mining
EG.ELC.PETR.ZS,Electricity production from oil sources (% of total),Energy & Mining
EG.ELC.FOSL.ZS,"Electricity production from oil, gas and coal sources (% of total)",Energy & Mining
EG.ELC.RNWX.ZS,"Electricity production from renewable sources, excluding hydroelectric (% of total)",Energy & Mining
EG.ELC.RNWX.KH,"Electricity production from renewable sources, excluding hydroelectric (kWh)",Energy & Mining
EG.IMP.CONS.ZS,"Energy imports, net (% of energy use)",Energy & Mining
EG.EGY.PRIM.PP.KD,Energy intensity level of primary energy (MJ/$2017 PPP GDP),Energy & Mining
EN.ATM.METH.EG.ZS,Energy related methane emissions (% of total),Energy & Mining
EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Energy & Mining
EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",Energy & Mining
IC.FRM.BNKS.ZS,Firms using banks to finance investment (% of firms),Energy & Mining
EG.USE.COMM.FO.ZS,Fossil fuel energy consumption (% of total),Energy & Mining
TX.VAL.FUEL.ZS.UN,Fuel exports (% of merchandise exports),Energy & Mining
TM.VAL.FUEL.ZS.UN,Fuel imports (% of merchandise imports),Energy & Mining
EG.GDP.PUSE.KO.PP,GDP per unit of energy use (PPP $ per kg of oil equivalent),Energy & Mining
EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),Energy & Mining
IE.PPI.ENGY.CD,Investment in energy with private participation (current US$),Energy & Mining
EN.ATM.METH.EG.KT.CE,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),Energy & Mining
NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP),Energy & Mining
NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP),Energy & Mining
EN.ATM.NOXE.EG.ZS,Nitrous oxide emissions in energy sector (% of total),Energy & Mining
EN.ATM.NOXE.EG.KT.CE,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),Energy & Mining
NY.GDP.PETR.RT.ZS,Oil rents (% of GDP),Energy & Mining
TX.VAL.MMTL.ZS.UN,Ores and metals exports (% of merchandise exports),Energy & Mining
TM.VAL.MMTL.ZS.UN,Ores and metals imports (% of merchandise imports),Energy & Mining
EP.PMP.DESL.CD,Pump price for diesel fuel (US$ per liter),Energy & Mining
EP.PMP.SGAS.CD,Pump price for gasoline (US$ per liter),Energy & Mining
EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),Energy & Mining
EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Energy & Mining
IC.ELC.TIME,Time required to get electricity (days),Energy & Mining
IC.ELC.DURS,Time to obtain an electrical connection (days),Energy & Mining
NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP),Energy & Mining
IC.FRM.OUTG.ZS,Value lost due to electrical outages (% of sales for affected firms),Energy & Mining
EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking (% of population),Environment
EG.CFT.ACCS.RU.ZS,"Access to clean fuels and technologies for cooking, rural (% of rural population)",Environment
EG.CFT.ACCS.UR.ZS,"Access to clean fuels and technologies for cooking, urban (% of urban population)",Environment
EG.ELC.ACCS.ZS,Access to electricity (% of population),Environment
NY.ADJ.SVNX.GN.ZS,"Adjusted net savings, excluding particulate emission damage (% of GNI)",Environment
NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)",Environment
NY.ADJ.SVNG.GN.ZS,"Adjusted net savings, including particulate emission damage (% of GNI)",Environment
NY.ADJ.SVNG.CD,"Adjusted net savings, including particulate emission damage (current US$)",Environment
NY.ADJ.DCO2.GN.ZS,Adjusted savings: carbon dioxide damage (% of GNI),Environment
NY.ADJ.DCO2.CD,Adjusted savings: carbon dioxide damage (current US$),Environment
NY.ADJ.DKAP.GN.ZS,Adjusted savings: consumption of fixed capital (% of GNI),Environment
NY.ADJ.DKAP.CD,Adjusted savings: consumption of fixed capital (current US$),Environment
NY.ADJ.AEDU.GN.ZS,Adjusted savings: education expenditure (% of GNI),Environment
NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$),Environment
NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI),Environment
NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$),Environment
NY.ADJ.ICTR.GN.ZS,Adjusted savings: gross savings (% of GNI),Environment
NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI),Environment
NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$),Environment
NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI),Environment
NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$),Environment
NY.ADJ.NNAT.GN.ZS,Adjusted savings: net national savings (% of GNI),Environment
NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$),Environment
NY.ADJ.DPEM.GN.ZS,Adjusted savings: particulate emission damage (% of GNI),Environment
NY.ADJ.DPEM.CD,Adjusted savings: particulate emission damage (current US$),Environment
AG.LND.AGRI.ZS,Agricultural land (% of land area),Environment
EN.ATM.METH.AG.ZS,Agricultural methane emissions (% of total),Environment
EN.ATM.METH.AG.KT.CE,Agricultural methane emissions (thousand metric tons of CO2 equivalent),Environment
EN.ATM.NOXE.AG.ZS,Agricultural nitrous oxide emissions (% of total),Environment
EN.ATM.NOXE.AG.KT.CE,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),Environment
ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",Environment
ER.H2O.FWDM.ZS,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",Environment
ER.H2O.FWIN.ZS,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",Environment
ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",Environment
ER.H2O.FWTL.K3,"Annual freshwater withdrawals, total (billion cubic meters)",Environment
ER.FSH.AQUA.MT,Aquaculture production (metric tons),Environment
AG.LND.ARBL.ZS,Arable land (% of land area),Environment
AG.LND.PRCP.MM,Average precipitation in depth (mm per year),Environment
EN.BIR.THRD.NO,"Bird species, threatened",Environment
EN.ATM.CO2E.KD.GD,CO2 emissions (kg per 2015 US$ of GDP),Environment
EN.ATM.CO2E.PP.GD.KD,CO2 emissions (kg per 2017 PPP $ of GDP),Environment
EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),Environment
EN.ATM.CO2E.KT,CO2 emissions (kt),Environment
EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),Environment
EN.CO2.ETOT.ZS,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",Environment
EN.ATM.CO2E.GF.ZS,CO2 emissions from gaseous fuel consumption (% of total),Environment
EN.ATM.CO2E.GF.KT,CO2 emissions from gaseous fuel consumption (kt),Environment
EN.ATM.CO2E.LF.ZS,CO2 emissions from liquid fuel consumption (% of total),Environment
EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),Environment
EN.CO2.MANF.ZS,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),Environment
EN.CO2.OTHX.ZS,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",Environment
EN.CO2.BLDG.ZS,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),Environment
EN.ATM.CO2E.SF.ZS,CO2 emissions from solid fuel consumption (% of total),Environment
EN.ATM.CO2E.SF.KT,CO2 emissions from solid fuel consumption (kt),Environment
EN.CO2.TRAN.ZS,CO2 emissions from transport (% of total fuel combustion),Environment
EN.ATM.CO2E.EG.ZS,CO2 intensity (kg per kg of oil equivalent energy use),Environment
ER.FSH.CAPT.MT,Capture fisheries production (metric tons),Environment
NY.GDP.COAL.RT.ZS,Coal rents (% of GDP),Environment
EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),Environment
EN.CLC.MDAT.ZS,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",Environment
EG.ELC.FOSL.ZS,"Electricity production from oil, gas and coal sources (% of total)",Environment
EG.ELC.RNWX.ZS,"Electricity production from renewable sources, excluding hydroelectric (% of total)",Environment
EG.ELC.RNWX.KH,"Electricity production from renewable sources, excluding hydroelectric (kWh)",Environment
EG.EGY.PRIM.PP.KD,Energy intensity level of primary energy (MJ/$2017 PPP GDP),Environment
EN.ATM.METH.EG.ZS,Energy related methane emissions (% of total),Environment
EN.FSH.THRD.NO,"Fish species, threatened",Environment
AG.LND.FRST.ZS,Forest area (% of land area),Environment
AG.LND.FRST.K2,Forest area (sq. km),Environment
NY.GDP.FRST.RT.ZS,Forest rents (% of GDP),Environment
EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),Environment
EN.ATM.HFCG.KT.CE,HFC gas emissions (thousand metric tons of CO2 equivalent),Environment
AG.LND.TOTL.K2,Land area (sq. km),Environment
AG.LND.EL5M.ZS,Land area where elevation is below 5 meters (% of total land area),Environment
ER.H2O.FWST.ZS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Environment
EN.MAM.THRD.NO,"Mammal species, threatened",Environment
ER.MRN.PTMR.ZS,Marine protected areas (% of territorial waters),Environment
EN.ATM.METH.ZG,Methane emissions (% change from 1990),Environment
EN.ATM.METH.KT.CE,Methane emissions (kt of CO2 equivalent),Environment
EN.ATM.METH.EG.KT.CE,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),Environment
NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP),Environment
SH.STA.AIRP.P5,"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)",Environment
SH.STA.POIS.P5,"Mortality rate attributed to unintentional poisoning (per 100,000 population)",Environment
SH.STA.POIS.P5.FE,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",Environment
SH.STA.POIS.P5.MA,"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",Environment
SH.STA.WASH.P5,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",Environment
NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP),Environment
EN.ATM.NOXE.ZG,Nitrous oxide emissions (% change from 1990),Environment
EN.ATM.NOXE.KT.CE,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Environment
EN.ATM.NOXE.EG.ZS,Nitrous oxide emissions in energy sector (% of total),Environment
EN.ATM.NOXE.EG.KT.CE,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),Environment
NY.GDP.PETR.RT.ZS,Oil rents (% of GDP),Environment
EN.ATM.GHGO.ZG,Other greenhouse gas emissions (% change from 1990),Environment
EN.ATM.GHGO.KT.CE,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Environment
EN.ATM.PFCG.KT.CE,PFC gas emissions (thousand metric tons of CO2 equivalent),Environment
EN.ATM.PM25.MC.M3,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Environment
EN.ATM.PM25.MC.ZS,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Environment
EN.ATM.PM25.MC.T1.ZS,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",Environment
EN.ATM.PM25.MC.T2.ZS,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-2 value (% of total)",Environment
EN.ATM.PM25.MC.T3.ZS,"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-3 value (% of total)",Environment
SH.STA.ODFC.ZS,People practicing open defecation (% of population),Environment
SH.STA.ODFC.RU.ZS,"People practicing open defecation, rural (% of rural population)",Environment
SH.STA.ODFC.UR.ZS,"People practicing open defecation, urban (% of urban population)",Environment
SH.H2O.BASW.ZS,People using at least basic drinking water services (% of population),Environment
SH.H2O.BASW.RU.ZS,"People using at least basic drinking water services, rural (% of rural population)",Environment
SH.H2O.BASW.UR.ZS,"People using at least basic drinking water services, urban (% of urban population)",Environment
SH.STA.BASS.ZS,People using at least basic sanitation services (% of population),Environment
SH.STA.BASS.RU.ZS,"People using at least basic sanitation services, rural (% of rural population)",Environment
SH.STA.BASS.UR.ZS,"People using at least basic sanitation services, urban (% of urban population)",Environment
SH.H2O.SMDW.ZS,People using safely managed drinking water services (% of population),Environment
SH.H2O.SMDW.RU.ZS,"People using safely managed drinking water services, rural (% of rural population)",Environment
SH.H2O.SMDW.UR.ZS,"People using safely managed drinking water services, urban (% of urban population)",Environment
SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),Environment
SH.STA.SMSS.RU.ZS,"People using safely managed sanitation services, rural (% of rural population)",Environment
SH.STA.SMSS.UR.ZS,"People using safely managed sanitation services, urban (% of urban population)",Environment
SH.STA.HYGN.ZS,People with basic handwashing facilities including soap and water (% of population),Environment
SH.STA.HYGN.RU.ZS,"People with basic handwashing facilities including soap and water, rural (% of rural population)",Environment
SH.STA.HYGN.UR.ZS,"People with basic handwashing facilities including soap and water, urban (% of urban population)",Environment
EN.HPT.THRD.NO,"Plant species (higher), threatened",Environment
EN.POP.EL5M.ZS,Population living in areas where elevation is below 5 meters (% of total population),Environment
EN.POP.SLUM.UR.ZS,Population living in slums (% of urban population),Environment
EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),Environment
EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Environment
ER.H2O.INTR.PC,Renewable internal freshwater resources per capita (cubic meters),Environment
ER.H2O.INTR.K3,"Renewable internal freshwater resources, total (billion cubic meters)",Environment
AG.LND.TOTL.RU.K2,Rural land area (sq. km),Environment
AG.LND.EL5M.RU.ZS,Rural land area where elevation is below 5 meters (% of total land area),Environment
AG.LND.EL5M.RU.K2,Rural land area where elevation is below 5 meters (sq. km),Environment
EN.POP.EL5M.RU.ZS,Rural population living in areas where elevation is below 5 meters (% of total population),Environment
EN.ATM.SF6G.KT.CE,SF6 gas emissions (thousand metric tons of CO2 equivalent),Environment
AG.SRF.TOTL.K2,Surface area (sq. km),Environment
ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),Environment
ER.LND.PTLD.ZS,Terrestrial protected areas (% of total land area),Environment
ER.FSH.PROD.MT,Total fisheries production (metric tons),Environment
EN.ATM.GHGT.ZG,Total greenhouse gas emissions (% change from 1990),Environment
EN.ATM.GHGT.KT.CE,Total greenhouse gas emissions (kt of CO2 equivalent),Environment
NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP),Environment
AG.LND.TOTL.UR.K2,Urban land area (sq. km),Environment
AG.LND.EL5M.UR.ZS,Urban land area where elevation is below 5 meters (% of total land area),Environment
AG.LND.EL5M.UR.K2,Urban land area where elevation is below 5 meters (sq. km),Environment
EN.POP.EL5M.UR.ZS,Urban population living in areas where elevation is below 5 meters (% of total population),Environment
ER.GDP.FWTL.M3.KD,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",Environment
DT.NFL.PCBO.CD,"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",External Debt
BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)",External Debt
DT.TDS.DPPF.XP.ZS,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",External Debt
DT.TDS.DPPG.CD,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",External Debt
DT.TDS.DECT.CD,"Debt service on external debt, total (TDS, current US$)",External Debt
BX.GSR.TOTL.CD,"Exports of goods, services and primary income (BoP, current US$)",External Debt
DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),External Debt
DT.DOD.DLXF.CD,"External debt stocks, long-term (DOD, current US$)",External Debt
DT.DOD.DPNG.CD,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",External Debt
DT.DOD.DPPG.CD,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",External Debt
DT.DOD.DSTC.CD,"External debt stocks, short-term (DOD, current US$)",External Debt
DT.DOD.DECT.CD,"External debt stocks, total (DOD, current US$)",External Debt
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",External Debt
NY.GNP.MKTP.CD,GNI (current US$),External Debt
BX.GRT.EXTA.CD.WD,"Grants, excluding technical cooperation (BoP, current US$)",External Debt
DT.DOD.MWBG.CD,"IBRD loans and IDA credits (DOD, current US$)",External Debt
DT.NFL.NIFC.CD,"IFC, private nonguaranteed (NFL, US$)",External Debt
DT.TDS.DIMF.CD,"IMF repurchases and charges (TDS, current US$)",External Debt
BM.GSR.TOTL.CD,"Imports of goods, services and primary income (BoP, current US$)",External Debt
DT.TDS.MLAT.PG.ZS,Multilateral debt service (% of public and publicly guaranteed debt service),External Debt
DT.TDS.MLAT.CD,"Multilateral debt service (TDS, current US$)",External Debt
DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),External Debt
DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),External Debt
DT.NFL.MIBR.CD,"Net financial flows, IBRD (NFL, current US$)",External Debt
DT.NFL.MIDA.CD,"Net financial flows, IDA (NFL, current US$)",External Debt
DT.NFL.IMFC.CD,"Net financial flows, IMF concessional (NFL, current US$)",External Debt
DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",External Debt
DT.NFL.RDBC.CD,"Net financial flows, RDB concessional (NFL, current US$)",External Debt
DT.NFL.RDBN.CD,"Net financial flows, RDB nonconcessional (NFL, current US$)",External Debt
DT.NFL.BLAT.CD,"Net financial flows, bilateral (NFL, current US$)",External Debt
DT.NFL.MLAT.CD,"Net financial flows, multilateral (NFL, current US$)",External Debt
DT.NFL.MOTH.CD,"Net financial flows, others (NFL, current US$)",External Debt
DT.NFL.DPNG.CD,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",External Debt
DT.ODA.ODAT.CD,Net official development assistance received (current US$),External Debt
DT.NFL.PNGB.CD,"PNG, bonds (NFL, current US$)",External Debt
DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",External Debt
DT.DOD.MIBR.CD,"PPG, IBRD (DOD, current US$)",External Debt
DT.DOD.MIDA.CD,"PPG, IDA (DOD, current US$)",External Debt
DT.NFL.PBND.CD,"PPG, bonds (NFL, current US$)",External Debt
DT.NFL.PCBK.CD,"PPG, commercial banks (NFL, current US$)",External Debt
DT.NFL.OFFT.CD,"PPG, official creditors (NFL, US$)",External Debt
DT.NFL.PROP.CD,"PPG, other private creditors (NFL, current US$)",External Debt
DT.NFL.PRVT.CD,"PPG, private creditors (NFL, US$)",External Debt
